Supplementary Table 10: Top RNA markers of the Level3M WNN clusters (MarkerFinder results),,,,
,,,,
UID,Symbol,Pearson rho,Pearson p-value,Cell State
TFB2M,TFB2M,0.274333944,9.29E-14,MultiLin-GMP-1
PNKP,PNKP,0.273893757,1.02E-13,MultiLin-GMP-1
CXorf21,CXorf21,0.271933895,1.55E-13,MultiLin-GMP-1
TM9SF1,TM9SF1,0.271385625,1.74E-13,MultiLin-GMP-1
WDR73,WDR73,0.270364299,2.16E-13,MultiLin-GMP-1
DYRK1A,DYRK1A,0.269987899,2.34E-13,MultiLin-GMP-1
PPP6R3,PPP6R3,0.267410433,4.00E-13,MultiLin-GMP-1
AKAP8,AKAP8,0.267405638,4.01E-13,MultiLin-GMP-1
CLK3,CLK3,0.267344824,4.06E-13,MultiLin-GMP-1
ZNF24,ZNF24,0.266737619,4.61E-13,MultiLin-GMP-1
TRIM39,TRIM39,0.266561775,4.78E-13,MultiLin-GMP-1
LTV1,LTV1,0.266550247,4.79E-13,MultiLin-GMP-1
GTPBP10,GTPBP10,0.266360549,4.98E-13,MultiLin-GMP-1
TFG,TFG,0.26337416,9.21E-13,MultiLin-GMP-1
ENDOV,ENDOV,0.262496945,1.10E-12,MultiLin-GMP-1
BUD31,BUD31,0.261914643,1.24E-12,MultiLin-GMP-1
WEE1,WEE1,0.260184492,1.76E-12,MultiLin-GMP-1
TOE1,TOE1,0.259824027,1.89E-12,MultiLin-GMP-1
TOR1AIP2,TOR1AIP2,0.25789699,2.79E-12,MultiLin-GMP-1
TSEN34,TSEN34,0.257191558,3.21E-12,MultiLin-GMP-1
MBD4,MBD4,0.256684497,3.55E-12,MultiLin-GMP-1
DDX51,DDX51,0.256158975,3.94E-12,MultiLin-GMP-1
ZNF131,ZNF131,0.256038188,4.04E-12,MultiLin-GMP-1
CELF1,CELF1,0.255892841,4.15E-12,MultiLin-GMP-1
EIF4A2,EIF4A2,0.254646128,5.32E-12,MultiLin-GMP-1
GTF2F1,GTF2F1,0.254595663,5.37E-12,MultiLin-GMP-1
NUFIP1,NUFIP1,0.254405165,5.57E-12,MultiLin-GMP-1
ZNF628,ZNF628,0.25381962,6.25E-12,MultiLin-GMP-1
ZBTB11,ZBTB11,0.253333708,6.88E-12,MultiLin-GMP-1
IGHMBP2,IGHMBP2,0.25260589,7.93E-12,MultiLin-GMP-1
CCDC174,CCDC174,0.251716933,9.43E-12,MultiLin-GMP-1
FAM13B,FAM13B,0.251072945,1.07E-11,MultiLin-GMP-1
ZNF561,ZNF561,0.24971659,1.39E-11,MultiLin-GMP-1
WDR6,WDR6,0.249435256,1.47E-11,MultiLin-GMP-1
TRIM11,TRIM11,0.249086436,1.57E-11,MultiLin-GMP-1
TBCC,TBCC,0.248967303,1.61E-11,MultiLin-GMP-1
PAF1,PAF1,0.248154307,1.88E-11,MultiLin-GMP-1
DNAJB6,DNAJB6,0.247716345,2.04E-11,MultiLin-GMP-1
TRIM23,TRIM23,0.247337695,2.19E-11,MultiLin-GMP-1
ZNF496,ZNF496,0.246831235,2.42E-11,MultiLin-GMP-1
TRIM27,TRIM27,0.244624386,3.67E-11,MultiLin-GMP-1
BAG5,BAG5,0.244394631,3.84E-11,MultiLin-GMP-1
GBF1,GBF1,0.243513228,4.53E-11,MultiLin-GMP-1
FBXO11,FBXO11,0.243410354,4.62E-11,MultiLin-GMP-1
PBDC1,PBDC1,0.243033399,4.95E-11,MultiLin-GMP-1
MUL1,MUL1,0.242742601,5.23E-11,MultiLin-GMP-1
MTRF1,MTRF1,0.241963246,6.05E-11,MultiLin-GMP-1
DDX55,DDX55,0.241399605,6.72E-11,MultiLin-GMP-1
GOLGB1,GOLGB1,0.241133749,7.06E-11,MultiLin-GMP-1
SAFB,SAFB,0.240963651,7.29E-11,MultiLin-GMP-1
CASP10,CASP10,0.239929974,8.82E-11,MultiLin-GMP-1
RBM12,RBM12,0.239521724,9.51E-11,MultiLin-GMP-1
UBE3A,UBE3A,0.238270574,1.20E-10,MultiLin-GMP-1
PRPF4,PRPF4,0.238052878,1.25E-10,MultiLin-GMP-1
ZC3H11A,ZC3H11A,0.236702876,1.59E-10,MultiLin-GMP-1
GTF3C4,GTF3C4,0.236117222,1.77E-10,MultiLin-GMP-1
TRA2B,TRA2B,0.235120168,2.13E-10,MultiLin-GMP-1
OTUD5,OTUD5,0.234689181,2.30E-10,MultiLin-GMP-1
GOLPH3,GOLPH3,0.234554278,2.35E-10,MultiLin-GMP-1
RANBP6,RANBP6,0.234414735,2.41E-10,MultiLin-GMP-1
LRRC27,LRRC27,0.234028848,2.59E-10,MultiLin-GMP-1
ZDHHC13,ZDHHC13,0.233798875,2.70E-10,MultiLin-GMP-1
ECD,ECD,0.233273663,2.96E-10,MultiLin-GMP-1
ATG7,ATG7,0.232420759,3.45E-10,MultiLin-GMP-1
ZNF10,ZNF10,0.232416319,3.45E-10,MultiLin-GMP-1
NPEPPS,NPEPPS,0.232186023,3.60E-10,MultiLin-GMP-1
CCNYL1,CCNYL1,0.231961664,3.75E-10,MultiLin-GMP-1
C17orf53,C17orf53,0.230700051,4.69E-10,MultiLin-GMP-1
SETD5,SETD5,0.23054781,4.81E-10,MultiLin-GMP-1
KDM3A,KDM3A,0.230071475,5.24E-10,MultiLin-GMP-1
TSC22D3,TSC22D3,0.229652813,5.64E-10,MultiLin-GMP-1
PDCD7,PDCD7,0.229490221,5.80E-10,MultiLin-GMP-1
NSUN4,NSUN4,0.228566042,6.83E-10,MultiLin-GMP-1
DTX3,DTX3,0.227702215,7.94E-10,MultiLin-GMP-1
NRDE2,NRDE2,0.227089652,8.84E-10,MultiLin-GMP-1
ZNF790,ZNF790,0.226872712,9.18E-10,MultiLin-GMP-1
ZC3H15,ZC3H15,0.226856488,9.20E-10,MultiLin-GMP-1
COQ10A,COQ10A,0.225579656,1.15E-09,MultiLin-GMP-1
UBQLN1,UBQLN1,0.225573845,1.15E-09,MultiLin-GMP-1
FAM193A,FAM193A,0.223891524,1.54E-09,MultiLin-GMP-1
MKL1,MKL1,0.22286372,1.83E-09,MultiLin-GMP-1
PPP2R2A,PPP2R2A,0.220875158,2.57E-09,MultiLin-GMP-1
ELF1,ELF1,0.218999638,3.52E-09,MultiLin-GMP-1
BFAR,BFAR,0.218711104,3.70E-09,MultiLin-GMP-1
HMGXB3,HMGXB3,0.218652197,3.73E-09,MultiLin-GMP-1
ATXN2L,ATXN2L,0.218097277,4.10E-09,MultiLin-GMP-1
CCDC6,CCDC6,0.216452105,5.38E-09,MultiLin-GMP-1
ZNF692,ZNF692,0.216080196,5.73E-09,MultiLin-GMP-1
RBM48,RBM48,0.215752726,6.04E-09,MultiLin-GMP-1
IRAK1BP1,IRAK1BP1,0.214810289,7.06E-09,MultiLin-GMP-1
SCAND1,SCAND1,0.214511813,7.41E-09,MultiLin-GMP-1
GON4L,GON4L,0.213432414,8.85E-09,MultiLin-GMP-1
HBP1,HBP1,0.213148501,9.27E-09,MultiLin-GMP-1
PAFAH1B1,PAFAH1B1,0.213089642,9.36E-09,MultiLin-GMP-1
PATZ1,PATZ1,0.212909583,9.63E-09,MultiLin-GMP-1
CHST11,CHST11,0.212817285,9.78E-09,MultiLin-GMP-1
AP5M1,AP5M1,0.212785771,9.83E-09,MultiLin-GMP-1
SLC25A29,SLC25A29,0.21236334,1.05E-08,MultiLin-GMP-1
ZNF266,ZNF266,0.209930982,1.56E-08,MultiLin-GMP-1
ZNF562,ZNF562,0.207196143,2.41E-08,MultiLin-GMP-1
PROCA1,PROCA1,0.206979849,2.49E-08,MultiLin-GMP-1
TRMT10C,TRMT10C,0.206587534,2.65E-08,MultiLin-GMP-1
POLG2,POLG2,0.206506328,2.69E-08,MultiLin-GMP-1
C16orf87,C16orf87,0.20419988,3.86E-08,MultiLin-GMP-1
PPP2R3C,PPP2R3C,0.203438037,4.34E-08,MultiLin-GMP-1
RP9,RP9,0.202841521,4.77E-08,MultiLin-GMP-1
FOXN3,FOXN3,0.202779311,4.81E-08,MultiLin-GMP-1
FGFR1OP,FGFR1OP,0.202566524,4.97E-08,MultiLin-GMP-1
LLPH,LLPH,0.201363657,5.99E-08,MultiLin-GMP-1
ZNF330,ZNF330,0.200696619,6.63E-08,MultiLin-GMP-1
ATR,ATR,0.200283443,7.06E-08,MultiLin-GMP-1
MZF1,MZF1,0.199456337,8.01E-08,MultiLin-GMP-1
ZC3H7A,ZC3H7A,0.197883307,1.02E-07,MultiLin-GMP-1
DCTN4,DCTN4,0.1978808,1.02E-07,MultiLin-GMP-1
MTMR6,MTMR6,0.197300588,1.11E-07,MultiLin-GMP-1
MAD2L1BP,MAD2L1BP,0.197069724,1.15E-07,MultiLin-GMP-1
LPIN2,LPIN2,0.196879482,1.18E-07,MultiLin-GMP-1
RBM18,RBM18,0.196244211,1.30E-07,MultiLin-GMP-1
ARFGAP2,ARFGAP2,0.19576126,1.40E-07,MultiLin-GMP-1
NAPG,NAPG,0.195742267,1.40E-07,MultiLin-GMP-1
AASDH,AASDH,0.195734518,1.40E-07,MultiLin-GMP-1
CNOT10,CNOT10,0.194879287,1.60E-07,MultiLin-GMP-1
DDX52,DDX52,0.194096353,1.79E-07,MultiLin-GMP-1
METTL14,METTL14,0.193583864,1.93E-07,MultiLin-GMP-1
IQCB1,IQCB1,0.192894374,2.14E-07,MultiLin-GMP-1
ASH1L,ASH1L,0.192669871,2.21E-07,MultiLin-GMP-1
RNF34,RNF34,0.191686861,2.55E-07,MultiLin-GMP-1
LRRC37B,LRRC37B,0.190743566,2.93E-07,MultiLin-GMP-1
ZNF805,ZNF805,0.190728415,2.94E-07,MultiLin-GMP-1
ANKRD36,ANKRD36,0.188614963,3.99E-07,MultiLin-GMP-1
NAA30,NAA30,0.187583427,4.62E-07,MultiLin-GMP-1
OSGIN2,OSGIN2,0.186387501,5.48E-07,MultiLin-GMP-1
ZNF440,ZNF440,0.185922001,5.86E-07,MultiLin-GMP-1
CREBZF,CREBZF,0.185110953,6.57E-07,MultiLin-GMP-1
KPNA6,KPNA6,0.184962192,6.71E-07,MultiLin-GMP-1
MAPK14,MAPK14,0.18266608,9.25E-07,MultiLin-GMP-1
PAFAH1B2,PAFAH1B2,0.182338357,9.68E-07,MultiLin-GMP-1
BCLAF1,BCLAF1,0.181274409,1.12E-06,MultiLin-GMP-1
KLHDC10,KLHDC10,0.181031587,1.16E-06,MultiLin-GMP-1
ZNF512B,ZNF512B,0.180930563,1.18E-06,MultiLin-GMP-1
SRSF6,SRSF6,0.180410784,1.26E-06,MultiLin-GMP-1
SCNM1,SCNM1,0.179892366,1.36E-06,MultiLin-GMP-1
RAB3GAP2,RAB3GAP2,0.178132712,1.73E-06,MultiLin-GMP-1
TRPC4AP,TRPC4AP,0.177534889,1.87E-06,MultiLin-GMP-1
TIMM10B,TIMM10B,0.177316612,1.93E-06,MultiLin-GMP-1
OXR1,OXR1,0.177303635,1.93E-06,MultiLin-GMP-1
CEP89,CEP89,0.177104934,1.98E-06,MultiLin-GMP-1
MARCH7,MARCH7,0.176416883,2.18E-06,MultiLin-GMP-1
FAM222B,FAM222B,0.176380144,2.19E-06,MultiLin-GMP-1
DIS3,DIS3,0.174313615,2.88E-06,MultiLin-GMP-1
FBXO28,FBXO28,0.174286905,2.89E-06,MultiLin-GMP-1
ADPGK,ADPGK,0.173432238,3.24E-06,MultiLin-GMP-1
HMGCR,HMGCR,0.16901877,5.77E-06,MultiLin-GMP-1
RBMXL1,RBMXL1,0.167636898,6.89E-06,MultiLin-GMP-1
YRDC,YRDC,0.166249664,8.22E-06,MultiLin-GMP-1
SCAMP1,SCAMP1,0.165117449,9.49E-06,MultiLin-GMP-1
SEC24B,SEC24B,0.164226886,1.06E-05,MultiLin-GMP-1
MT-ND5,MT-ND5,0.161133867,1.56E-05,MultiLin-GMP-1
RNF220,RNF220,0.159025979,2.02E-05,MultiLin-GMP-1
SCAF4,SCAF4,0.157263694,2.50E-05,MultiLin-GMP-1
FANCF,FANCF,0.156798647,2.64E-05,MultiLin-GMP-1
CBWD6,CBWD6,0.156447499,2.75E-05,MultiLin-GMP-1
ABCF3,ABCF3,0.154808541,3.35E-05,MultiLin-GMP-1
CHKA,CHKA,0.152570171,4.35E-05,MultiLin-GMP-1
KIF27,KIF27,0.150240656,5.70E-05,MultiLin-GMP-1
SBNO1,SBNO1,0.142184618,0.000140862,MultiLin-GMP-1
CSNK1A1,CSNK1A1,0.138620468,0.000207027,MultiLin-GMP-1
SEC31B,SEC31B,0.133021776,0.000372191,MultiLin-GMP-1
NUFIP2,NUFIP2,0.130840171,0.000464954,MultiLin-GMP-1
C6orf226,C6orf226,0.127201058,0.000668916,MultiLin-GMP-1
MT-ND4,MT-ND4,0.119559895,0.001392884,MultiLin-GMP-1
UFC1,UFC1,0.117931085,0.001620058,MultiLin-GMP-1
AFTPH,AFTPH,0.11645381,0.001855029,MultiLin-GMP-1
MT-ATP6,MT-ATP6,0.107874797,0.003953923,MultiLin-GMP-1
C1QTNF4,C1QTNF4,0.338292329,1.60E-20,MultiLin-GMP-2
PRAM1,PRAM1,0.209465299,1.68E-08,MultiLin-GMP-2
SLC35F2,SLC35F2,0.192628223,2.22E-07,MultiLin-GMP-2
CEP170,CEP170,0.183612416,8.11E-07,MultiLin-GMP-2
AGPAT2,AGPAT2,0.222383038,1.99E-09,MultiLin-GMP-3
TM7SF3,TM7SF3,0.198103442,9.84E-08,MultiLin-GMP-3
MVB12A,MVB12A,0.16028061,1.73E-05,MultiLin-GMP-3
APPL1,APPL1,0.151420601,4.98E-05,MultiLin-GMP-3
WDR54,WDR54,0.252041857,8.86E-12,Multilin-1
SGK3,SGK3,0.184957207,6.71E-07,Multilin-1
CLSTN1,CLSTN1,0.181916026,1.03E-06,Multilin-1
CASP2,CASP2,0.18149937,1.09E-06,Multilin-1
TBC1D5,TBC1D5,0.180307876,1.28E-06,Multilin-1
ATF6B,ATF6B,0.17050909,4.76E-06,Multilin-1
VPS35,VPS35,0.165797847,8.70E-06,Multilin-1
TSTD1,TSTD1,0.158079028,2.26E-05,Multilin-1
EIF3L,EIF3L,0.094217516,0.011895925,Multilin-1
LRRC26,LRRC26,0.37033361,1.45E-24,Multilin-2
FLT3,FLT3,0.316567279,4.89E-18,Multilin-2
CD34,CD34,0.278376679,3.88E-14,Multilin-2
SPNS3,SPNS3,0.255829787,4.21E-12,Multilin-2
NUDT8,NUDT8,0.244322654,3.89E-11,Multilin-2
GNB4,GNB4,0.19982694,7.57E-08,Multilin-2
SELL,SELL,0.193649383,1.91E-07,Multilin-2
CCL23,CCL23,0.45948719,1.77E-38,Myeloid intermediate 1
HGF,HGF,0.315872905,5.83E-18,Myeloid intermediate 1
KBTBD11,KBTBD11,0.304646164,9.32E-17,Myeloid intermediate 1
HOMER3,HOMER3,0.282943517,1.42E-14,Myeloid intermediate 1
TNFSF13B,TNFSF13B,0.261959114,1.23E-12,Myeloid intermediate 1
TFEC,TFEC,0.259493807,2.02E-12,Myeloid intermediate 1
IKBKE,IKBKE,0.184859783,6.80E-07,Myeloid intermediate 1
COMMD8,COMMD8,0.231186429,4.30E-10,Myeloid intermediate 2
SACS,SACS,0.209699442,1.62E-08,Myeloid intermediate 2
TMED8,TMED8,0.168325144,6.31E-06,Myeloid intermediate 2
ZMYM4,ZMYM4,0.155987139,2.91E-05,Myeloid intermediate 2
RAVER2,RAVER2,0.143636691,0.000120096,Myeloid intermediate 2
COLGALT1,COLGALT1,0.260126417,1.78E-12,Myeloid intermediate 3
MRPL33,MRPL33,0.248803179,1.66E-11,Myeloid intermediate 3
LYST,LYST,0.237285103,1.43E-10,Myeloid intermediate 3
ATP13A1,ATP13A1,0.220741428,2.63E-09,Myeloid intermediate 3
ARRDC1,ARRDC1,0.212907658,9.64E-09,Myeloid intermediate 3
PTDSS1,PTDSS1,0.152452587,4.41E-05,Myeloid intermediate 3
LAP3,LAP3,0.143671759,0.000119632,Myeloid intermediate 3
KLRF1,KLRF1,0.975993378,0,NK-Mature
FGFBP2,FGFBP2,0.974675237,0,NK-Mature
GNLY,GNLY,0.950388393,0,NK-Mature
SH2D1B,SH2D1B,0.942233244,0,NK-Mature
KRT86,KRT86,0.930298278,1.8011807016564e-311,NK-Mature
PRF1,PRF1,0.920035492,4.13E-291,NK-Mature
KLRC1,KLRC1,0.918822682,6.91E-289,NK-Mature
KLRD1,KLRD1,0.918000811,2.12E-287,NK-Mature
S1PR5,S1PR5,0.913612861,1.03E-279,NK-Mature
GZMH,GZMH,0.911490368,3.85E-276,NK-Mature
RNF165,RNF165,0.907284984,2.54E-269,NK-Mature
CLIC3,CLIC3,0.883514904,4.67E-236,NK-Mature
IL2RB,IL2RB,0.882562309,7.05E-235,NK-Mature
GZMB,GZMB,0.87517527,4.47E-226,NK-Mature
MMP23B,MMP23B,0.8660622,5.86E-216,NK-Mature
NCR1,NCR1,0.865052255,6.97E-215,NK-Mature
KIR3DL2,KIR3DL2,0.862885258,1.32E-212,NK-Mature
SPON2,SPON2,0.849459051,2.60E-199,NK-Mature
SAMD3,SAMD3,0.837353328,2.15E-188,NK-Mature
PAFAH2,PAFAH2,0.8271645,7.06E-180,NK-Mature
CD160,CD160,0.806926592,1.64E-164,NK-Mature
GZMA,GZMA,0.794651284,4.71E-156,NK-Mature
CD247,CD247,0.781186021,2.05E-147,NK-Mature
TBX21,TBX21,0.759665242,8.18E-135,NK-Mature
PYHIN1,PYHIN1,0.739744564,2.79E-124,NK-Mature
FCRL6,FCRL6,0.730314862,1.26E-119,NK-Mature
LAIR2,LAIR2,0.713165576,1.20E-111,NK-Mature
CCL4,CCL4,0.69906305,1.64E-105,NK-Mature
CCL3,CCL3,0.692610966,7.98E-103,NK-Mature
NCR3,NCR3,0.68944564,1.57E-101,NK-Mature
ZBP1,ZBP1,0.684761157,1.20E-99,NK-Mature
MIB2,MIB2,0.681540099,2.25E-98,NK-Mature
PDZD4,PDZD4,0.680669033,4.95E-98,NK-Mature
NKG7,NKG7,0.667638676,4.66E-93,NK-Mature
CD7,CD7,0.648622169,3.10E-86,NK-Mature
GZMM,GZMM,0.644704155,6.86E-85,NK-Mature
SH2D2A,SH2D2A,0.643949653,1.24E-84,NK-Mature
KLRC2,KLRC2,0.642805057,3.03E-84,NK-Mature
MVD,MVD,0.636666084,3.43E-82,NK-Mature
IL18RAP,IL18RAP,0.6318069,1.35E-80,NK-Mature
MYOM2,MYOM2,0.630050511,4.99E-80,NK-Mature
ABHD17A,ABHD17A,0.628054409,2.19E-79,NK-Mature
SLFN12L,SLFN12L,0.609847813,9.70E-74,NK-Mature
MYBL1,MYBL1,0.591114571,2.67E-68,NK-Mature
IL12RB1,IL12RB1,0.590946337,2.97E-68,NK-Mature
LLGL2,LLGL2,0.583871469,2.72E-66,NK-Mature
SIRT2,SIRT2,0.572788163,2.59E-63,NK-Mature
ASCL2,ASCL2,0.570598583,9.73E-63,NK-Mature
ZAP70,ZAP70,0.568785035,2.89E-62,NK-Mature
PTGDR,PTGDR,0.55781299,1.83E-59,NK-Mature
APMAP,APMAP,0.556905163,3.08E-59,NK-Mature
ARHGAP9,ARHGAP9,0.547849498,5.19E-57,NK-Mature
PRKCH,PRKCH,0.539059552,6.50E-55,NK-Mature
KIR2DL2,KIR2DL2,0.534156386,9.04E-54,NK-Mature
PTPN4,PTPN4,0.528700618,1.61E-52,NK-Mature
ZFYVE28,ZFYVE28,0.524834172,1.20E-51,NK-Mature
AXIN1,AXIN1,0.524756538,1.25E-51,NK-Mature
CTSW,CTSW,0.52242726,4.13E-51,NK-Mature
PAPD5,PAPD5,0.515031115,1.74E-49,NK-Mature
OSBPL7,OSBPL7,0.499844566,2.85E-46,NK-Mature
ABI3,ABI3,0.498753995,4.77E-46,NK-Mature
GNG2,GNG2,0.49627706,1.53E-45,NK-Mature
TTC38,TTC38,0.490384339,2.38E-44,NK-Mature
AUTS2,AUTS2,0.474921724,2.45E-41,NK-Mature
ARNTL,ARNTL,0.47407562,3.55E-41,NK-Mature
GK5,GK5,0.473037864,5.58E-41,NK-Mature
TSEN54,TSEN54,0.472392437,7.39E-41,NK-Mature
TRAPPC10,TRAPPC10,0.467165994,7.00E-40,NK-Mature
DIP2A,DIP2A,0.465546364,1.39E-39,NK-Mature
RNF166,RNF166,0.462326207,5.42E-39,NK-Mature
PATL2,PATL2,0.46204284,6.10E-39,NK-Mature
ITGAL,ITGAL,0.46021759,1.31E-38,NK-Mature
CST7,CST7,0.443562542,1.12E-35,NK-Mature
CHST12,CHST12,0.431112931,1.37E-33,NK-Mature
PLEKHF1,PLEKHF1,0.429199389,2.82E-33,NK-Mature
JAK1,JAK1,0.426810219,6.91E-33,NK-Mature
MATK,MATK,0.422365071,3.58E-32,NK-Mature
C20orf24,C20orf24,0.419862091,8.94E-32,NK-Mature
FBXO2,FBXO2,0.412995517,1.06E-30,NK-Mature
B3GNT7,B3GNT7,0.410873661,2.25E-30,NK-Mature
YPEL1,YPEL1,0.407872481,6.46E-30,NK-Mature
EFHD2,EFHD2,0.402587462,4.03E-29,NK-Mature
KLHDC4,KLHDC4,0.401962678,5.00E-29,NK-Mature
RAP1GAP2,RAP1GAP2,0.397735799,2.11E-28,NK-Mature
PLEKHA2,PLEKHA2,0.391783928,1.54E-27,NK-Mature
PRR5L,PRR5L,0.391431254,1.73E-27,NK-Mature
CARD11,CARD11,0.390961815,2.02E-27,NK-Mature
COMMD5,COMMD5,0.390282423,2.53E-27,NK-Mature
MADD,MADD,0.390101222,2.69E-27,NK-Mature
LPCAT1,LPCAT1,0.387706607,5.90E-27,NK-Mature
SKAP1,SKAP1,0.38348948,2.31E-26,NK-Mature
SYNE2,SYNE2,0.381546428,4.31E-26,NK-Mature
RNF213,RNF213,0.369607461,1.81E-24,NK-Mature
SIPA1,SIPA1,0.365247928,6.83E-24,NK-Mature
FGD3,FGD3,0.363636899,1.11E-23,NK-Mature
RAB11FIP4,RAB11FIP4,0.362369378,1.62E-23,NK-Mature
LITAF,LITAF,0.359096961,4.29E-23,NK-Mature
RASA3,RASA3,0.358963642,4.46E-23,NK-Mature
RASA2,RASA2,0.358350089,5.34E-23,NK-Mature
CD300A,CD300A,0.357850107,6.19E-23,NK-Mature
CEP78,CEP78,0.355804759,1.13E-22,NK-Mature
CASP8,CASP8,0.355102628,1.38E-22,NK-Mature
EIF5A2,EIF5A2,0.351843546,3.55E-22,NK-Mature
SCLT1,SCLT1,0.349680443,6.61E-22,NK-Mature
PPIL2,PPIL2,0.349510635,6.94E-22,NK-Mature
PRR5,PRR5,0.346599752,1.59E-21,NK-Mature
RAB8B,RAB8B,0.346461609,1.65E-21,NK-Mature
PILRB,PILRB,0.344407828,2.94E-21,NK-Mature
C1orf21,C1orf21,0.341169589,7.24E-21,NK-Mature
SIRT7,SIRT7,0.335980585,3.01E-20,NK-Mature
PDE4D,PDE4D,0.333894316,5.29E-20,NK-Mature
SUN2,SUN2,0.332371938,7.97E-20,NK-Mature
MXD4,MXD4,0.324152485,6.99E-19,NK-Mature
AAK1,AAK1,0.321755092,1.30E-18,NK-Mature
MRPL10,MRPL10,0.311642203,1.68E-17,NK-Mature
HLA-F,HLA-F,0.310491119,2.24E-17,NK-Mature
GNPTAB,GNPTAB,0.308699293,3.47E-17,NK-Mature
CNOT2,CNOT2,0.306763383,5.58E-17,NK-Mature
LRMP,LRMP,0.306266533,6.30E-17,NK-Mature
IDI1,IDI1,0.304459016,9.75E-17,NK-Mature
FAM53B,FAM53B,0.303839412,1.13E-16,NK-Mature
HSH2D,HSH2D,0.303378015,1.27E-16,NK-Mature
PTPN7,PTPN7,0.30188134,1.81E-16,NK-Mature
APOBEC3G,APOBEC3G,0.301130934,2.17E-16,NK-Mature
ST3GAL4,ST3GAL4,0.298885882,3.69E-16,NK-Mature
ZNF276,ZNF276,0.298137326,4.41E-16,NK-Mature
TCF25,TCF25,0.28934063,3.38E-15,NK-Mature
ZNF600,ZNF600,0.288737092,3.87E-15,NK-Mature
ZBTB1,ZBTB1,0.288422259,4.16E-15,NK-Mature
ZDHHC18,ZDHHC18,0.286572548,6.32E-15,NK-Mature
STK4,STK4,0.285409061,8.21E-15,NK-Mature
SAR1A,SAR1A,0.284243379,1.06E-14,NK-Mature
TMEM170A,TMEM170A,0.281914649,1.79E-14,NK-Mature
CDC42SE1,CDC42SE1,0.281453896,1.98E-14,NK-Mature
NECAP1,NECAP1,0.281420479,1.99E-14,NK-Mature
HCST,HCST,0.27932976,3.15E-14,NK-Mature
PTPRA,PTPRA,0.278303694,3.94E-14,NK-Mature
DENND3,DENND3,0.278299867,3.94E-14,NK-Mature
FUT11,FUT11,0.27790698,4.30E-14,NK-Mature
ITGB2,ITGB2,0.274369363,9.22E-14,NK-Mature
TMEM120B,TMEM120B,0.270384644,2.15E-13,NK-Mature
SPSB3,SPSB3,0.269684907,2.49E-13,NK-Mature
CYB561D2,CYB561D2,0.259951391,1.85E-12,NK-Mature
DENND2D,DENND2D,0.257966151,2.75E-12,NK-Mature
MSMO1,MSMO1,0.255253021,4.72E-12,NK-Mature
C1orf56,C1orf56,0.254775004,5.18E-12,NK-Mature
MED10,MED10,0.25081257,1.12E-11,NK-Mature
CAPN15,CAPN15,0.250213661,1.26E-11,NK-Mature
ATG9A,ATG9A,0.248952443,1.61E-11,NK-Mature
SORL1,SORL1,0.247135502,2.28E-11,NK-Mature
DHRS1,DHRS1,0.245025661,3.40E-11,NK-Mature
DDX6,DDX6,0.239955497,8.78E-11,NK-Mature
VPS37B,VPS37B,0.238332488,1.18E-10,NK-Mature
INPP5K,INPP5K,0.237270173,1.44E-10,NK-Mature
DENND1C,DENND1C,0.236131347,1.77E-10,NK-Mature
SIGIRR,SIGIRR,0.233014731,3.10E-10,NK-Mature
ARHGEF9,ARHGEF9,0.230266611,5.06E-10,NK-Mature
HLA-C,HLA-C,0.228729717,6.63E-10,NK-Mature
HELZ,HELZ,0.225447869,1.17E-09,NK-Mature
ISG20L2,ISG20L2,0.22241244,1.98E-09,NK-Mature
TTC14,TTC14,0.221981734,2.13E-09,NK-Mature
CLEC2B,CLEC2B,0.220772062,2.61E-09,NK-Mature
NRBP1,NRBP1,0.219700098,3.13E-09,NK-Mature
MAP2K7,MAP2K7,0.219623634,3.17E-09,NK-Mature
TEN1,TEN1,0.217458521,4.56E-09,NK-Mature
ZFAND2A,ZFAND2A,0.213749548,8.40E-09,NK-Mature
ATG12,ATG12,0.210144767,1.51E-08,NK-Mature
EXOG,EXOG,0.206938538,2.51E-08,NK-Mature
ANKRA2,ANKRA2,0.204954593,3.43E-08,NK-Mature
ZFAND4,ZFAND4,0.202715438,4.86E-08,NK-Mature
SRP19,SRP19,0.201529331,5.84E-08,NK-Mature
SAMD9,SAMD9,0.197595686,1.06E-07,NK-Mature
PTPN2,PTPN2,0.194935844,1.58E-07,NK-Mature
CRCP,CRCP,0.194727769,1.63E-07,NK-Mature
MED6,MED6,0.193044156,2.09E-07,NK-Mature
ATG5,ATG5,0.192441648,2.29E-07,NK-Mature
B2M,B2M,0.177451177,1.89E-06,NK-Mature
NCBP2-AS2,NCBP2-AS2,0.168605832,6.08E-06,NK-Mature
NDUFB2,NDUFB2,0.168167015,6.44E-06,NK-Mature
CCZ1,CCZ1,0.156312682,2.80E-05,NK-Mature
SIKE1,SIKE1,0.14993354,5.91E-05,NK-Mature
TMA7,TMA7,0.144605038,0.000107887,NK-Mature
PIK3C2A,PIK3C2A,0.144302885,0.000111565,NK-Mature
CIR1,CIR1,0.132947811,0.000375031,NK-Mature
MT-CO2,MT-CO2,0.096469087,0.010006551,NK-Mature
PGLYRP1,PGLYRP1,0.976212395,0,Non-Classical Mono-1
CAMP,CAMP,0.972192181,0,Non-Classical Mono-1
LCN2,LCN2,0.954707605,0,Non-Classical Mono-1
